"","5007_S76","5036_S77","5073_S78","5085_S79","5104_S80","5113_S81","5114_S82","5148_S83","5150_S84","5160_S85","5172_S86","5179_S87","5197_S88","5221_S89","5224_S90","5238_S91","5243_S92","5252_S93","5253_S94","5334_S95","5348_S96","5357_S97","5366_S98","5377_S99","5379_S100","5381_S101","5383_S102","5425_S103","5426_S104","5431_S105","CN_MCC21-111_S106"
"ASV89",0,309,127,58,446,61,0,60,35,84,0,87,112,108,0,183,70,103,53,82,87,335,43,71,158,55,720,323,52,46,0
"ASV90",89,129,99,196,63,123,92,82,178,173,235,113,157,162,357,0,37,330,0,80,0,96,138,98,94,71,0,101,55,498,0
"ASV91",174,162,80,216,118,0,0,124,73,81,110,229,349,119,0,64,0,163,66,139,221,186,235,81,0,64,406,65,171,119,0
"ASV92",60,123,126,94,78,131,10,49,33,14,48,195,283,53,41,0,73,174,235,115,440,143,342,65,91,206,194,22,207,54,0
"ASV93",76,154,223,59,153,98,34,44,19,58,74,145,144,26,49,226,200,179,70,123,135,214,65,429,283,31,150,0,50,155,0
"ASV94",48,131,205,234,116,136,0,204,0,0,0,166,299,0,27,74,19,198,39,219,129,595,73,0,0,164,374,0,211,0,0
"ASV95",501,177,95,187,85,0,141,56,90,71,125,85,0,119,41,76,0,0,132,375,13,749,0,138,182,33,0,52,98,0,0
"ASV96",276,9,7,250,0,114,778,16,82,31,276,449,15,420,124,0,0,0,81,85,63,10,14,87,0,129,0,0,257,30,0
"ASV97",37,91,57,73,0,168,320,90,66,68,89,91,147,132,43,0,0,51,155,42,185,244,31,384,108,347,431,0,40,108,0
"ASV98",84,0,141,261,76,106,52,58,65,34,213,104,147,0,257,0,18,167,258,100,316,159,336,155,47,46,58,0,154,140,0
"ASV99",0,68,109,193,44,76,0,0,153,0,150,176,265,0,139,23,0,171,235,0,76,157,640,135,73,150,110,0,147,167,0
"ASV100",135,151,107,213,89,92,31,120,37,55,21,132,207,122,14,181,51,87,20,72,108,472,71,52,86,171,228,146,109,46,0
"ASV101",66,18,301,210,21,17,0,707,29,21,16,39,63,14,9,569,58,358,52,62,63,0,254,281,20,0,92,14,8,25,0
"ASV102",0,246,191,372,233,239,32,78,16,0,6,12,11,0,0,197,0,70,37,69,173,787,62,130,0,238,60,22,36,47,0
"ASV103",179,119,59,156,200,74,30,40,56,0,72,21,0,103,43,70,24,38,52,206,264,438,70,203,155,21,144,286,53,180,0
"ASV104",76,89,227,72,110,541,65,48,81,78,41,78,124,70,110,85,171,165,63,141,118,140,86,170,82,72,74,33,0,102,0
"ASV105",45,199,327,125,55,131,16,12,79,126,17,85,113,137,21,85,88,60,11,118,73,137,105,534,76,87,261,45,55,87,0
"ASV106",72,265,104,136,111,118,96,93,6,69,17,102,81,13,73,179,0,89,251,104,161,299,57,120,137,125,150,125,113,42,0
"ASV107",66,121,380,52,55,213,52,24,51,79,78,44,37,172,138,36,278,91,0,178,65,231,163,196,44,94,76,98,69,93,0
"ASV108",567,98,128,364,22,155,48,148,34,0,0,42,56,13,0,906,0,49,0,53,123,228,59,0,48,24,20,0,34,50,0
"ASV109",69,285,109,42,146,57,0,125,31,71,63,104,101,64,20,264,90,140,85,17,34,335,183,82,41,79,252,38,234,101,0
"ASV110",382,183,205,130,158,182,166,84,0,0,0,0,0,0,0,176,289,298,77,157,177,0,0,0,0,0,187,135,255,0,0
